Character Name	Character	Entity	Hex Entity	Dec	Hex	Bin
BRAILLE PATTERN BLANK	⠀	&#10240;	&#x2800	0	00	00000000
BRAILLE PATTERN DOTS-1	⠁	&#10241;	&#x2801	128	80	10000000
BRAILLE PATTERN DOTS-12	⠃	&#10243;	&#x2803	192	C0	11000000
BRAILLE PATTERN DOTS-123	⠇	&#10247;	&#x2807	224	E0	11100000
BRAILLE PATTERN DOTS-1234	⠏	&#10255;	&#x280F	240	F0	11110000
BRAILLE PATTERN DOTS-12345	⠟	&#10271;	&#x281F	248	F8	11111000
BRAILLE PATTERN DOTS-123456	⠿	&#10303;	&#x283F	252	FC	11111100
BRAILLE PATTERN DOTS-1234567	⡿	&#10367;	&#x287F	254	FE	11111110
BRAILLE PATTERN DOTS-12345678	⣿	&#10495;	&#x28FF	255	FF	11111111
BRAILLE PATTERN DOTS-1234568	⢿	&#10431;	&#x28BF	253	FD	11111101
BRAILLE PATTERN DOTS-123457	⡟	&#10335;	&#x285F	250	FA	11111010
BRAILLE PATTERN DOTS-1234578	⣟	&#10463;	&#x28DF	251	FB	11111011
BRAILLE PATTERN DOTS-123458	⢟	&#10399;	&#x289F	249	F9	11111001
BRAILLE PATTERN DOTS-12346	⠯	&#10287;	&#x282F	244	F4	11110100
BRAILLE PATTERN DOTS-123467	⡯	&#10351;	&#x286F	246	F6	11110110
BRAILLE PATTERN DOTS-1234678	⣯	&#10479;	&#x28EF	247	F7	11110111
BRAILLE PATTERN DOTS-123468	⢯	&#10415;	&#x28AF	245	F5	11110101
BRAILLE PATTERN DOTS-12347	⡏	&#10319;	&#x284F	242	F2	11110010
BRAILLE PATTERN DOTS-123478	⣏	&#10447;	&#x28CF	243	F3	11110011
BRAILLE PATTERN DOTS-12348	⢏	&#10383;	&#x288F	241	F1	11110001
BRAILLE PATTERN DOTS-1235	⠗	&#10263;	&#x2817	232	E8	11101000
BRAILLE PATTERN DOTS-12356	⠷	&#10295;	&#x2837	236	EC	11101100
BRAILLE PATTERN DOTS-123567	⡷	&#10359;	&#x2877	238	EE	11101110
BRAILLE PATTERN DOTS-1235678	⣷	&#10487;	&#x28F7	239	EF	11101111
